topic1,topic2,correlation
Acvr2a,Egfl7,0.7143473848586409
Acvr2a,Gng12,0.7990386916107335
Adgre5,Fos,0.7074765328325622
Adgrl1,E2f3,0.7013681386045547
Adgrl1,Yap1,0.7776858944045125
Adgrl2,Ccm2,0.7254755279983982
Adgrl2,Fzd4,0.7221021975791925
Adgrl2,Gclm,0.7151920169760976
Adgrl2,Gjc1,0.8658003250049342
Adgrl2,Hdac7,0.7460302186680249
Adgrl2,Nfatc1,0.7717671924292365
Adgrl2,Sox13,0.7195866854673659
Arid1b,Icam2,0.7002403970223929
Arl15,E2f7,0.7286253033090699
Arl15,Epas1,0.712331642507861
Arl15,Hdac7,0.7129232120415004
Arl15,Nfatc1,0.7125005407601953
Auts2,Bmpr2,0.807088196445432
Auts2,Disc1,0.7638049974676796
Auts2,Dlg1,0.7265964446098284
Auts2,Maff,0.7111751908427209
Auts2,Nfib,0.7337090684672086
Auts2,Ocln,0.7813612069220942
Auts2,Rbpj,0.728108743244083
Bmpr2,Cd47,0.7016988361161101
Bmpr2,Disc1,0.7364896672361476
Bmpr2,Dlg1,0.789688671242658
Bmpr2,Egln1,0.706574262283776
Bmpr2,Itgb1,0.7792967512101906
Bmpr2,Klf7,0.7014526345408995
Bmpr2,Nfib,0.8043399689576429
Bmpr2,Npas3,0.7007904419287292
Bmpr2,Nr6a1,0.7001232152193548
Bmpr2,Ocln,0.7850303477683108
Bmpr2,Vav3,0.7214837253639221
Calcrl,Ctbp2,0.7521444513043722
Calcrl,Ptprm,0.8476159809061617
Calcrl,Taz,0.7295537460864783
Casp8,Itga1,0.7584623410794513
Casp8,Maff,0.7440404619338953
Casp8,Nr3c1,0.7474614801956531
Casp8,Pik3r3,0.7325682798155025
Ccm2,E2f7,0.8092461847773068
Ccm2,Epas1,0.7374848869083884
Ccm2,Fzd4,0.7537574990914214
Ccm2,Gclm,0.7309383319624579
Ccm2,Hdac7,0.794444603726195
Ccm2,Nfatc1,0.7546496722073981
Ccm2,Nr4a1,0.741037070212349
Ccm2,Sox13,0.8492590554390079
Ccnd1,Gng12,0.7100573271069469
Cd47,Klf7,0.7230281863020287
Cd47,Rel,0.7636375266670017
Ctbp2,Flt1,0.7275072815784557
Cxcl12,Rbpj,0.7015350051025679
Cxcl12,Vezf1,0.7064141924718909
Cxcr4,Itga1,0.7170845886828059
Cxcr4,Maff,0.710106665928963
Cxcr4,Rel,0.7044199112930839
Disc1,Dlg1,0.7061584303361764
Disc1,Il2rg,0.7686803707640693
Disc1,Nfib,0.7730011093984265
Disc1,Ocln,0.80371944417272
Dlg1,Nfib,0.7691975344114285
Dlg1,Rbpj,0.7371078025369622
Dlg1,Vav3,0.7500192435155081
E2f3,Fzd6,0.704021721434538
E2f7,Epas1,0.8427145206782086
E2f7,Fzd4,0.7896748836952975
E2f7,Gclm,0.8019748446354633
E2f7,Hdac7,0.7867887059979496
E2f7,Nr4a1,0.7233170616928333
E2f7,Nr4a2,0.7026417000744108
E2f7,Sox13,0.826729012186137
Ebf1,Klf10,0.7701652567259527
Egln2,Nfia,0.7257704143763813
Eng,Smad4,0.7096096656437217
Eno1,Gng12,0.7265232234672813
Eno1,Myef2,0.789771655978977
Eno1,Pbx1,0.7218588151786972
Eno1,Rad21,0.7167041353137524
Eno1,Unc5b,0.7046415687940834
Epas1,Fzd4,0.7008028761037953
Epas1,Hdac7,0.8092512885834449
Epas1,Nfatc1,0.7396326962483037
Epas1,Nr4a1,0.7987230617124632
Epas1,Sox13,0.8188915132158419
Ets2,Itga1,0.7427858297753973
Flrt2,Plxna4,0.7276254957239013
Flt1,Foxo1,0.7654871575547052
Flt1,Taz,0.7156430768448607
Foxo1,Taz,0.7966430607925212
Fzd4,Gclm,0.7846543874249824
Fzd4,Hdac7,0.8147306816087461
Fzd4,Nr4a1,0.721237300354102
Fzd4,Sox13,0.7998416239415593
Gclm,Hdac7,0.8525306635221506
Gclm,Nfatc1,0.7029204219763073
Gclm,Nr4a1,0.7661692247255135
Gclm,Nr4a2,0.7290425750592945
Gclm,Sox13,0.8056294385719074
Gja1,Klf10,0.7230667712667412
Gjc1,Hdac7,0.7615496436295376
Gjc1,Nfatc1,0.728938131024631
Gng12,Myef2,0.7090780642805553
Gng12,Rad21,0.7499614123010249
Gria4,Itgb1,0.7433607859731634
Gria4,Klf12,0.8090457710278226
Gria4,Nfia,0.7070700835556792
Gria4,Ocln,0.703469068164294
Gria4,Unc5b,0.7440891593451162
Hdac7,Nfatc1,0.7962301797200032
Hdac7,Nr4a1,0.8062461978703871
Hdac7,Sox13,0.8151121378652105
Heg1,Pon3,0.7252301698057063
Igf2r,Nr3c1,0.7138403523734204
Itga1,Maff,0.8360355240813869
Itga1,Mxi1,0.7376839605107537
Itga1,Nr3c1,0.704864502720294
Itga1,Nr6a1,0.7179601363911657
Itga1,Ocln,0.7119260486228299
Itga1,Pik3r3,0.7500589517470598
Itga1,Unc5b,0.7286922071530881
Itgb1,Npas3,0.7044143786612087
Itgb1,Nr6a1,0.7024804914682888
Itgb1,Pik3r3,0.7046524231669756
Klf2,Ptprm,0.7466915026269955
Klf2,Taz,0.7046773092942438
Klf7,Plxna4,0.7280662190063296
Klf7,Yap1,0.7102655949685167
Maff,Nr3c1,0.7527341012233647
Maff,Pik3r3,0.7480414388597794
Myef2,Pbx1,0.7860137790909307
Myef2,Pkm,0.7827843691556278
Nfatc1,Nr4a1,0.798611308564124
Nfatc1,Nr4a2,0.7459385739153676
Nfatc1,Sox13,0.763640452563125
Nfia,Pik3r3,0.725021001262472
Nfia,Plxna4,0.7093792863664337
Nfia,Yap1,0.7152704745655108
Nfib,Ocln,0.7253639403914511
Nfib,Vav3,0.7263249125339294
Nos3,Pbx1,0.74271844973451
Npas3,Nr3c1,0.7203266446337551
Npas3,Nr6a1,0.7524082638993611
Npas3,Ocln,0.7475879474215822
Nr3c1,Plxna4,0.7080102820053151
Nr4a1,Nr4a2,0.7273046447675873
Nr4a1,Sox13,0.8224305668045213
Nr4a2,Sox13,0.7034347705138545
Nr6a1,Ocln,0.7724999655494394
Nr6a1,Pbx1,0.7176835700508184
Nr6a1,Unc5b,0.7464664083106813
Pbx1,Pkm,0.7506628755694436
Pik3r3,Rbpj,0.7084892104345524
Plxnd1,Rbpj,0.7017241444776664
Ptprm,Taz,0.7268869292701675
Rad21,Unc5b,0.7159032436027416
Tgfbr1,Tgfbr2,0.7850463644140512
