grna_target,X1,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X2,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X3,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X4,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X5,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X6,X60,X7,X8,X9
Acvr2a,-0.036382092,-0.061373652,0.25381177,-0.066005676,-0.0079684,-0.139860652,0.005201316,-0.00062786,-0.232970906,0.058267161,-0.268994751,0.01583794,0.103813122,0.222108803,0.000610671,0.002636393,-0.373581049,0.11094424,-0.288936749,0.083802206,-0.056046812,0.05776004,0.002050343,0.320434938,0.077086964,0.036300641,0.227406525,-0.077804343,0.13908276,-0.183475337,-0.235899117,0.246385752,0.318098708,-0.058169225,-0.018812704,0.321172623,0.097364349,-0.13442674,0.197219339,0.600681591,0.214571393,-0.215195525,0.172297854,-0.0946382,-0.071786749,-0.084261399,-0.1752876,-0.284329295,-0.145044627,0.156956317,0.017111153,0.191063481,-0.197142638,-0.673797598,2.448431782,0.025319494,0.089523673,-0.083032779,-0.030936047,0.035965682
Arid1b,0.064345687,-0.021763904,-0.075318833,-0.04611011,-0.056611435,-0.185103523,-0.121561341,0.017875112,0.441347581,0.131250359,-0.295859902,0.02688005,-0.046156888,-0.22580445,0.434507515,-0.184053611,0.508812858,-0.134935049,-1.027537468,-0.443068518,-0.19263152,-0.053080093,-0.034232438,0.110198558,-0.403264732,-0.24747106,-0.065942275,-0.143212852,-0.014716578,0.103471436,0.04888811,-0.692720427,-0.233115848,0.06632027,-0.121901264,-0.589509919,-0.26933058,0.111790382,-0.225686129,-0.314647003,-0.104694213,-0.150009513,0.080012915,0.315581143,0.011475176,-0.421373205,0.006404415,0.029343111,-0.484492943,-0.026323737,0.923791078,-0.215432996,-0.528908756,-0.890534671,-0.4209753,0.051211996,-0.160985092,-0.037742923,-0.077218237,-0.107715106
Auts2,-0.060095718,0.033643994,0.135336986,0.036372776,0.005468189,0.001272849,0.02796833,0.067269969,0.082153214,0.007906756,-0.180406541,-0.022694276,0.080647885,0.01515821,0.054398148,-0.117052353,0.196836755,0.048023564,-0.236317027,0.200204868,0.157129243,-0.1371317,-0.04191525,-0.260478677,-0.026131405,-0.16818807,0.015108537,-0.002341297,0.024434051,0.007708829,0.051882436,-0.304463146,0.174080182,0.152823925,-0.330708077,-0.068201213,0.014230411,-0.069269391,-0.002229186,-0.006152835,-0.037709995,-0.016696387,-0.241411627,0.145218521,-0.043092363,-0.061569353,0.043888569,0.26205209,0.087808973,-0.166664492,-0.095153246,-0.195879798,0.239531835,-1.461236088,-1.11608419,0.000756548,-0.665430704,-0.030842647,-0.045656818,-0.027080257
Ccm2,-0.146503098,0.114613318,-0.149960835,0.118976346,-0.332845906,0.216797991,0.257987832,0.113393741,0.356465481,0.155380225,-0.399479272,0.198749841,-0.055511733,-0.45164025,0.294284788,0.192785023,0.447038703,0.017109315,-0.37528578,-0.123747417,0.046414029,-0.055594216,-0.041834261,0.178788482,-0.288910616,-0.284250678,0.139043061,-0.216952614,-0.016096633,-0.180708274,-0.034354044,0.167153655,-0.303990588,0.060840929,-0.055080369,-0.361656681,0.289596121,-0.002831813,-0.102099953,-0.144302014,0.217706519,0.215786756,-0.122776462,-0.30183109,0.053569627,-0.155378716,-0.087892625,0.556990486,0.226220684,0.012415023,-0.711151834,-0.538423997,-0.215603052,2.645806309,-0.726945663,0.069851374,-0.375309096,-0.221842836,0.042963443,-0.113348061
Ccnd1,-0.004982708,-0.085691789,-0.10507042,-0.091909342,0.058589073,0.094659101,-0.335087958,0.242944576,-0.27881623,-0.335441143,-0.330398976,-0.110046066,0.110148553,0.198134061,-0.403467219,-0.019814535,-0.43439878,0.103627506,-0.356941237,0.245776618,0.164168816,-0.088966796,-0.003066135,0.354523467,-0.142117861,0.186417436,0.160815641,-0.239901438,0.010166571,-0.265575276,-0.004638586,0.198608485,-0.26932736,-0.150712037,-0.143085724,-0.007543133,0.212748355,-0.042427276,-0.001352916,-0.02596233,0.653760488,0.023951859,0.119984875,-0.161284354,-0.052798248,-0.200182164,-0.035118488,-0.122600506,-0.174013966,0.252795691,-0.228546072,-0.035313446,-0.605543583,-1.249355807,0.762321755,-0.09437604,0.099903486,0.169785493,-0.101129692,-0.081795857
Ccser1,0.046681814,0.006326917,-0.132557298,0.05835887,0.050243552,-0.274170632,-0.512219461,0.230230409,0.030461507,0.191712461,-0.027660276,-0.068880088,-0.164468864,-0.005519712,0.176670617,-0.413247982,0.151465994,-0.046695826,0.266196789,-0.545376347,0.219993117,0.178639847,-0.01319427,-0.328608607,0.308976495,-0.213943966,0.003374956,0.162518408,0.009174884,-0.210982781,-0.178240242,-0.540178691,-0.009799067,-0.119938865,0.365019447,-0.563250554,0.024501374,0.069047432,0.100856836,-0.132746351,0.26303198,-0.058455288,0.087048734,-0.283652343,-0.0257314,-0.144457806,-0.115083312,-0.232547925,0.339707354,0.08663063,-0.381480877,0.485548183,-0.313079397,-0.775496117,1.936640443,0.074156778,1.274589082,-0.071128884,-0.105552778,-0.334070304
Creb3l2,-0.035771571,0.059355855,0.010319913,0.047679473,0.041125961,0.081153635,-0.078113986,0.151808382,-0.430886382,-0.028082003,-0.380140892,-0.074406783,0.007487721,-0.005772076,-0.213306706,-0.012798706,-0.353780928,0.241591036,-0.576112804,-0.279206192,0.024327343,-0.222372842,0.00066733,-0.013744359,-0.053525681,-0.313347597,0.032841416,0.232767182,-0.14981671,-0.064902451,-0.004678703,0.381625315,-0.013683017,0.051958942,-0.489929788,0.358128197,-0.410385346,-0.101216816,-0.200878869,-0.211533516,0.108429617,0.296602258,-0.097647897,0.145283768,-0.052095762,-0.048723755,-0.049824021,-0.197435224,-0.276720237,0.20904726,0.347070412,0.504237489,-0.896966292,-1.559754529,1.52432228,0.015440352,-0.617562603,-0.032516777,-0.05301409,-0.113632825
Creb5,0.071671894,-0.078921787,-0.016741408,0.041539319,-0.231998076,-0.341434543,-0.308669125,0.046123751,-0.337615359,-0.055358164,-0.25911717,-0.039756402,-0.123571454,0.088962382,-0.261539549,-0.268209613,-0.12204783,-0.003934402,-0.671320514,-0.623390752,-0.073352791,-0.0961116,0.00672789,-0.005580312,-0.311528141,-0.031763728,-0.019846176,0.04593099,-0.182476783,0.018426846,0.241869037,0.145337795,-0.20179608,0.003089561,0.088490078,-0.328763164,0.268390268,-0.387033241,-0.360131878,0.087275594,0.418477106,0.209360031,0.047431711,-0.019119424,0.047474519,-0.117919836,0.005806431,-0.236506214,-0.067632076,-0.148492245,-0.675674761,-0.068141153,-0.101291865,-0.438480444,0.466816409,-0.059592751,0.764742681,-0.014857981,0.024636606,-0.318270395
Crim1,0.076483019,-0.076113839,-0.024527014,0.166077213,-0.01954157,-0.15558462,-0.263873251,0.188170365,0.188231415,-0.00408939,-0.2763223,-0.200930733,-0.001904023,-0.20928558,-0.093769036,-0.447018357,0.176420084,-0.257133832,0.260086449,-0.120897209,0.09293578,-0.001918731,0.055519975,-0.224986004,0.151524701,0.002974081,0.152240381,0.529006077,-0.068339962,-0.123547163,0.083602951,-0.378657641,0.193542558,-0.048256375,-0.62491174,-0.687475916,0.224942464,0.247243652,0.004777768,0.136126352,0.277719431,0.26216484,-0.228364389,0.010579025,-0.037437925,-0.116812275,-0.053617755,-0.330678344,0.41095662,-0.735485046,-0.550489964,0.068362343,-0.544338113,-1.513023596,-0.494041805,-0.03230239,0.18616215,0.078723217,-0.143804732,-0.273579387
Cxcl12,-0.016018907,0.027472524,0.13988364,0.039617941,-0.138998794,-0.183890713,0.036414019,-0.057337252,0.134472385,0.018959648,-0.637144378,0.114636011,0.048651568,-0.376114335,-0.004967183,0.005560865,-0.040379778,-0.037262387,-0.818685111,-0.178908667,0.036566304,-0.087223938,-0.062426466,-0.052825216,-0.262718051,-0.178536336,0.204576173,-0.130203681,0.016263306,-0.267749695,-0.271580446,-0.39749138,-0.175221925,0.138418498,-0.216444049,0.137068915,-0.334582732,0.117964027,-0.269936805,-0.088010528,-0.22344802,0.149403067,-0.0215392,-0.025464535,0.025668034,-0.24036547,0.388782048,0.107573124,-0.154659887,-0.246656967,-0.420818294,0.034237427,0.140215269,-0.733974107,-0.636989156,0.058943883,0.408872705,-0.049122508,0.032498497,0.084119607
